Tanggal,ID Transaksi,Items
2021-05-30,PJ0077,"Black Coffe SW Prime,Guntur Simadu,Alat Lintink Kecil Mild,Kotak Rokok,Lem V-tro kecil 10gr,Filter Mild 14gr,Filter Regular 50gr,kotak jinggo,Buffalo Baret,Virgin Apple,Duren Simadu Silky Melon Mint,Duren Simadu Greentea Mint"
2021-05-30,PJ0077,"Black Coffe SW Prime,Guntur Simadu,Alat Lintink Kecil Mild,Kotak Rokok,Lem V-tro kecil 10gr,Filter Mild 14gr,Filter Regular 50gr,kotak jinggo,Buffalo Baret,Virgin Apple,Duren Simadu Silky Melon Mint,Duren Simadu Greentea Mint"
2021-05-30,PJ0077,"Black Coffe SW Prime,Guntur Simadu,Alat Lintink Kecil Mild,Kotak Rokok,Lem V-tro kecil 10gr,Filter Mild 14gr,Filter Regular 50gr,kotak jinggo,Buffalo Baret,Virgin Apple,Duren Simadu Silky Melon Mint,Duren Simadu Greentea Mint"
2021-05-30,PJ0080,"Virgin Apple,BUSA Klik Regular Menthol 35Gr"
2021-05-30,PJ0081,"3PUTRI Cap Nona 120gr Hitam,3P Cap Nona 120gr Hitam,3P ONAN 50gr Pink,Banana ICE Jago rasa New50,Black Coffe SW Prime,GAYO,Alat Lintink Kecil Mild,Kotak Rokok,Lem V-tro kecil 10gr,Filter Mild 14gr,Alat Slorok,RM,Buffalo Baret,Virgin Apple,Papir pabrikan,BUSA Regular 35gr"
2021-05-30,PJ0081,"3PUTRI Cap Nona 120gr Hitam,3P Cap Nona 120gr Hitam,3P ONAN 50gr Pink,Banana ICE Jago rasa New50,Black Coffe SW Prime,GAYO,Alat Lintink Kecil Mild,Kotak Rokok,Lem V-tro kecil 10gr,Filter Mild 14gr,Alat Slorok,RM,Buffalo Baret,Virgin Apple,Papir pabrikan,BUSA Regular 35gr"
2021-05-30,PJ0083,"Marlboro Merah JR Rokok 50gr,Banana ICE Jago rasa New50,Warning 50gr,Alat Linting Kecil Regular,Lem V-tro kecil 10gr,Alat Slorok,3PUTRI Cap Nona 170gr Putih,Buffalo Baret,Papir pabrikan,Country Man,Duren Simadu Silky Melon Mint,Duren Simadu Greentea Mint,BUSA Regular 35gr"
2021-05-30,PJ0083,"Marlboro Merah JR Rokok 50gr,Banana ICE Jago rasa New50,Warning 50gr,Alat Linting Kecil Regular,Lem V-tro kecil 10gr,Alat Slorok,3PUTRI Cap Nona 170gr Putih,Buffalo Baret,Papir pabrikan,Country Man,Duren Simadu Silky Melon Mint,Duren Simadu Greentea Mint,BUSA Regular 35gr"
2021-05-30,PJ0085,"3PUTRI Cap Nona 120gr Hitam,3P Cap Nona 120gr Hitam,BUSA Regular 35gr"
2021-05-30,PJ0086,"3PUTRI Cap Nona 75gr Hijau,3P Cap Nona 75gr Hijau,3P ONAN 50gr Putih,Samsu Premium JR Rokok 100gr,Green tea Duren Simadu,Narayana,Duren Simadu Strawbery Milky Ice"
